Name,Comment,Time,Likes,Reply Count
MV,"I liked the part where Morbius wiped half of the aliens species, and exclaimed, “You’ve been morbed!” Truly one of the scenes in this movie.",2022-12-06T22:00:47Z,0,0
lola,"ive loved everything about avatar, the nature, the creatures, everything. i hope the second part will still have the nature beauty so its not only like in ships and technology n shit",2022-12-06T21:41:56Z,0,0
CHRONICLE KAI,"Watching the long-awaited sequel in 8 days. It’s been a journey so far, and I’m excited to see what James Cameron does with these films!",2022-12-06T21:27:03Z,0,0
OFW Schroedinger,the humans better win this time,2022-12-06T21:02:36Z,0,0
مصطفى هندى,I can't wait for this,2022-12-06T19:32:43Z,0,0
AT STUFF,cgi is worse than avatar 1 and it looks like a poorly 3d animated movie far from realism and thats what they achieved after 12 years,2022-12-06T19:25:12Z,1,1
Ahsan Habib,Another Avatar❤️❤️,2022-12-06T19:17:22Z,0,0
yas yas in,Wontherfull,2022-12-06T18:53:07Z,0,0
Master of Fun!!!! 96,TEN MORE DAYS!!!!!!!!!!!!,2022-12-06T18:40:56Z,1,0
gouse jani,Sudheer bhai,2022-12-06T18:13:46Z,1,0
Dance lovers,Jai sudheer anna 🔥,2022-12-06T17:46:04Z,1,0
Saravana Win Vlog,"Based on Law of diminishing marginal utility,  The sequels may not be much interesting.  @JamesCameroon, Please come up with other fantasy.",2022-12-06T17:26:35Z,1,0
Manohar Gaming,We want sudheer he is telugu hero,2022-12-06T17:01:22Z,2,0
Albertbz,Has the music from this trailer been released anywhere?,2022-12-06T16:16:58Z,0,0
VELA. V krishvi,Please don't bike yourself because it's a your life to improvisation.,2022-12-06T16:08:31Z,0,0
C,Thank the Gods I have enough&quot;T&quot; to not want to watch this blue filth. Hope it fails like everything else out there. Woke garbage.,2022-12-06T15:40:18Z,0,2
Gally  Pagals,Jai sudheer anna,2022-12-06T14:26:20Z,1,0
Sai chandu,Sudheer anna eyyy,2022-12-06T13:49:57Z,2,0
Cringe Thin's,Am I the only one who hasnt seen any advertising for this movie??? And i comes out in 10 DAYS! AND THE BUDGET IS OVER 350 MILLION,2022-12-06T13:32:53Z,1,0
Kevin Bowie,Avatar 2: Aquatic Boogaloo,2022-12-06T13:07:58Z,0,0
R. Need For Speed,OMG ☃️❄️❄️,2022-12-06T12:55:47Z,0,0
Nagaraj...,Jai sudheer anna,2022-12-06T10:35:08Z,1,1
Sean Ian,PURGE THE FILTHY XENOS!,2022-12-06T10:01:27Z,1,2
Dunia Maisha,An avatar,2022-12-06T09:34:43Z,0,0
PLENG TV,This one is really great.,2022-12-06T09:22:34Z,1,0
Michael Donar,The most useless movie on earth,2022-12-06T07:44:07Z,1,0
KARTIK MUTYALWAR,16th Dec Reymysterio  birthday special movie this is....🔥🔥🔥🔥🔥🔥🔥,2022-12-06T06:49:15Z,1,0
Sid Dhakre,Looks like a game,2022-12-06T06:43:14Z,1,0
Sadachari Soham,Wow inke special effects bahut bhari hai kya humare yeha ho sakte hai aise😎😎😎⚡⚡⚡👬❤️,2022-12-06T04:50:19Z,0,0
Tom bryan,More of the same,2022-12-06T04:16:11Z,1,0
Kimberley,"the Sirius vibes are even greater than with the first movie!<br>I can't watch Avatar without feeling homesick, even when I saw it for the first time when I was 9, when I didn't understand why I felt so connected to Pandora... 💙💜<br>god knows I was born ready for this movie to launch, can't wait!!!",2022-12-06T03:40:23Z,2,0
pavan,Jai sudheer annnaa,2022-12-06T02:26:07Z,0,0
James Marsh,"The aspect ratio looks all wrong.  All the &quot;people&quot; look too thin and stretched.  When they walk, it looks like limp spaghetti flopping around.  Something is wrong with this movie.",2022-12-06T01:55:05Z,0,0
Bonnie S,I was excited until Cameron stated that testosterone is toxin that you have to slowly work out of your system. He's just as woke as the rest of Hollywood. I will not be wasting my money on that. Just tell a story and stay out of politics.,2022-12-05T23:31:10Z,0,1
Yoits Charms,“I always think of [testosterone] as a toxin that you have to slowly work out of your system.” - james cameron,2022-12-05T22:50:31Z,0,0
Susan Gillotti,I'm 64 years old and since the 1st 5 minutes of Avatar 1 I've been anticipating a sequel!!! Production woes and postponements left me fearful that I might not survive until Avatar 2! I know this will be the 2nd most AMAZING movie experience of my life!!! Can't wait ...,2022-12-05T22:43:40Z,0,0
ŠímplëMÉDÎÅ,Waiting.............😇😇😇,2022-12-05T22:18:38Z,0,0
bikinggal1,my fav movie of all time and now a sequel!! GOOSEBUMPS,2022-12-05T21:59:42Z,0,0
c vers,"me and my cousins would watch this all the time when we were little, we even played “avatar”. I cant even describe how excited I am to see this",2022-12-05T20:54:42Z,2,0
Terrifier 2,I don't like it...,2022-12-05T20:09:55Z,0,0
Galactic Hyena X-Men,"!Attention! <br><br>Regarding the upcoming premieres, the spoiler-danger keeps growing. I suggest to all of you to avoid comment-sections (that's what i'm gonna do after writing this comment) and use the internet verry carefully. Or don't use it if you don't have to, until you didn't saw the movie. To avoid spoilers. Just an advice.",2022-12-05T19:18:14Z,0,0
